subclass,contents
눈,<br>하늘에서 눈이 내린다.<br>어떤 이에겐 소망을<br>어떤 이에겐 절망을<br>순수의 상징이던 눈도<br>빠르게 바뀌는 사회는  적응하지 못하나 보다.
청소기,<br>냠냠쩝쩝 맛있게 먼지 먹는 청소기<br>하루 종일 돌아 다니며 먹기만 하네<br>먹고 먹고 또 먹다보면<br>먼지로 배가 빵빵해지지<br>그래도 한번 통을 비워내면 다시 날씬해지네<br>청소기야 넌 왜 살도 안찌고 항상 날씬하니<br>청소기야 너는 왜 먹기만 하는데 항상 칭찬을 듣니<br>청소기야 나도 너같았으면
한 편 줍쇼,"<br>아내에게서 날아온 기분좋은 소식<br>국립국어원에 한다는 문상 이벤트<br>글을 잘쓰니 해보라는 우리 아내<br>때마침, 사무실을 혼자 지키고 있네<br>때는 이때다 싶어 감성에 젖어보네<br>아내와 만났던 때부터 글을 시작하네<br>아이들을 갖고 행복한 나날들을 적어가네<br>시간은 어느덧, 한 시간을 넘어가네<br>이제 퇴근시간도 다가오네<br>그만 글을 마무리 지어야지<br>쓰고, 지우고, 다시 쓰고, 지우고...<br>드디어 우리 가족을 주제로 글이 완성이 되가네<br>끝을 알리는 기지개를 켜며,<br>저장하기를 눌렀네<br>반갑지 않은 메세지창이 나오네<br>읽어보니 이런 날벼락이 어딨나<br>계약 후 이용 가능하다는 메세지...<br>내가 했던 계약은 뭐였던건지<br>내가 로그인한 사이트는 다른곳이었는지<br>한참을 멍하니 앉아 모니터만 바라보네<br>그때서야 스치듯 나는 생각<br>저장하기 누르기 전에 복사할까?<br>그 생각이 왜 들었는지<br>이제서야 알 것 같네...<br>동네방네 얘기하여 나의 허망함을 풀어보네<br>어쩜 그럴수가... 맙소사 혀를 차네...<br>혹시라는 생각으로 뒤로가기 눌러보네<br>어디에도 찾을 수 없는 나의 글들<br>돌려내라 나의 글들 한푼줍쇼 돌려내라<br>이젠 퇴근시간... 다음을 기약하네...<br>너무 어이가 없습니다. 회원가입을 하고, 계약을 진행하여 완료를 하고<br>다시 로그인을 해서 글을 썼습니다.<br>장장 1시간 30여분의 소중한 시간을 들여 한자 한자 타자를 쳐가며 글을 완성했습니다.<br>은행 홈페이지처럼 시간이 카운트되는것도 아니고, 페이지를 열어놓고 아무런 입력없이<br>보낸것도 아닌데.. 왜 이런 현상이 생기는 것인지..<br>정말 안타깝습니다.<br>저장이 되어야 최종 제출전에 수정을 하던지 할건데.. 저장조차 되지 않는다니..<br>다소 홈페이지에 문제가 있는것이 아닌가 싶습니다.<br>이 글을 확인하신다면, 엔지니어에게 저의 허망함을 전해주세요.<br>짧다면 짧고, 길다면 긴 한 시간동안 모니터만 바라보며, 타자를 쳤던지라.. 목에 통증도 약간 오고 있는데..<br>정말 울고 싶습니다.<br>어떻게 방법이 없을까요.. 정말.. 글도 나름 잘 썼다고 생각하는데.. 하.. 이 무력감..<br>다음에 시간적 여유가 있을때 다시 도전은 해보고 싶지만, 살짝 겁이 나는것도 사실이네요..<br>또 다시 이런일이 생기진 않을까.. 합니다.<br>친구들이 조언 아닌 조언을 해주네요.<br>메모장에 글을 써서 옮기라고요.. 그래야 겠습니다.<br>다음을 기약합니다. 수고하세요."
씨앗,<br>행복한  씨았<br>작은 씨았 하나가 땅에 떨어지네<br>오랜 시간을 기다리며 땅속으로 깊이 뿌리를 내리고 잎과 줄기를 뻤어<br>아름다운 꽃을 피우고 마지막으로 열매를 맺는 식물 작은 씨았을 위해 식물을 많이 심어야 됀다네.<br>그리고 식물은 우리에게 기쁨을 준다네.
불나방,"<br>불 빛 아래 나방마냥 마음껏 부딪히고 싶었다.<br>몸이 깨어져 부서질 만큼.<br>날개 파편이 네 눈을 시리게 할 때까지.<br>모두 너를 본다. 산란하는 불에 젖어 흐드러지게 낙화하는 부나방엔 숨을 쉴 기도가 없다.<br>목 언저리에 걸려 알앓이 폐를 녹이는 불구덩이가 마냥 좋았다.<br>난 밤을 파랗게 지새는데<br>그리 널 보는 눈이 시퍼렇게 짓무는데<br>기어코 열린 입에서 까만 바닷물 꾸역이며 뱉어내는데<br>너에게만은 이토록 짙고 깊은데.<br>네 날개는 꺾이긴 커녕<br>되려 반쯤의 가냘픈 오기로 눈을 감았다.<br>숨구멍이 왈칵 토해져 나온 까닭이다.<br>네 외눈을 녹여버린 까닭이다<br>새어나는 신음은 무대 밖 언어가 되질 못했다.<br>커튼콜이 내린다.<br>지나간 시간을 만나려 팔에 깃을 꼽았다. 햇빛에 밀랍 녹인 이카루스의 실수를 범하지 않으려 제 피를 뽑아 기웠었다.<br>한올,<br>열올,<br>백올, 선연한 석류빛 날개가 완성 될 즈음<br>언젠가 모리게 하늘을 날고 있었다.<br>이제 네가 모두를 내려본다.<br>녹슨 황동의 날개가 뼈를 달구는 부지깽이마냥 네 기억을 기졌다. 네가 흘려냉 가믄 극야가 품을 얽어맸다.<br>봐 너를 둘러안은 것은 굳은 몸뚱이. 토해낸 어미의 울혈.<br>낙화하는 부나방에는 숨을 쉴 기도가 없었다."
각설탕,"<br>거칠면서도 달콤한 목소리<br>새하얀 네 피부<br>내 눈 속으로<br>사르르, 사르르<br>사소한 습관과 말투<br>너의 작고작은 것도<br>내 맘 속으로<br>사르르, 사르르<br>네 마음이라는 찬장을 열어<br>너에게 닿았을 때의 촉감<br>내 신경세포가<br>사르르, 사르르<br>내 마음의 쌉사름한 커피<br>그 커피의 맛을 바꿔준 너<br>너 때문에 내가<br>사르르, 사르르"
쇄빙선,"<br>(제목)쇄빙선<br>끓어오르는 너를 봐 흩어지기도 해<br>저 아래부터 위까지 다시 위에서 아래까지<br>일 초 일 초를 쌓아 수 만년을 꾹꾹 눌러왔으니까<br>누가 누구랄 것도 없이 붙어서<br>누가 누구인 것도 모르게 된<br>너란 벽이 그 장철로 된 우리의 얼굴을 비춰<br>왜 여기까지 온 건가<br>더이상 간질이지 않아 이제는 아플거야<br>미얀하지 않아<br>수많은 더운 피와 죽어가는 숨결을<br>네가 감추고 있는 바닥없는 깊음에 던져 넣고서야<br>단단하게 하나가 되어야 했어<br>부서뜨리기 위해서는 먼저 부서져야 해<br>어린나, 또 다른 어린 것들을 품었던 노곤한 흙을 벗어나고<br>끄집어내지고 토해지고 그렇게 가루가 되고 뭉쳐져<br>나, 나, 나, 나 결국 우리<br>우리는 불을 만나고 흠씬 두들겨 맞고 다시<br>물속에 처박히고 또 다시 불을 만나고 손과 발목이 묶인 채<br>수 천 번의 질문에도 한 마디도 대답안하며<br>사람부터 물범까지 그저 막아서며 비추던 너를<br>왜 여기까지 온 건가<br>그 대답을 듣기까지 기다렸어<br>올 수밖에 없어 아직 알아야 할 것들이 많거든<br>그리고 내 발이 디뎌야 할 땅이 이 지구엔 너무도 많아<br>그 곳에 땅이든 수만년을 그저 생긴 대로 흐르고 누리다가<br>움직이지도 못하고 굳어지 네가<br>너도 알지 못하고 처박아 둔<br>불타는 얼음을 찾으러 왔어<br>더 살아야해. 네가 죽인 만큼은 살아야 해.<br>그리고 죽어가는 너를 다시 살려야 해.<br>네가 단단한 만큼 나는 무거워져야 해<br>오래 쌓였으니 그만큼 뽀족하고 예리해야 해<br>나도 아플거야.<br>너도 아플거야.<br>그러나 난 맘을 먹었어.<br>네가 쳐박아 둔 불타는 얼음으로 살아내려고<br>그리고 너도 살려내려고<br>여기에 왔어."
만나다,<br>너의 질문이 아팠다<br>네가 미웠다<br>갑작스런 너의 말과 행동에<br>겁부터나던 나<br>이해되지않던 그 날<br>오랫동안 생각했다 그 날을<br>너는 원래 그런 사람이었을까<br>머릿 속 상상으로<br>몇 번이나 널 찢었지만<br>너는 웃고있다<br>찢어진 건 나였다
생각,<br>생각의 산이 쌓이고 쌓인다.<br>덩어리 덩어리가 모여서 커다란 산을 이룬다.<br>끝없이 펼쳐진 녹색의 거대한 광야 한 가운데의<br>생각의 산은 커지고 커져서 어느새 광야를 뒤엎을 정도로 커져만간다.<br>산은 폭풍과 비와 바람 뜨거운 햇볕과 차디 찬 얼음의 눈을 정면으로 맞아낸다.<br>끝없이 닥치는 폭풍에 산은 무너지고 다시 바람에 의해 쌓이고 쌓여만 간다.<br>그 산을 찾는 이 아무도 없고 오직 흙만 나뒹굴며 자갈소리만 달그닥거린다.<br>공허하고 폐허가 된 산은 노오란 햇빛과 대지의 물으로 새롭게 변해만가길 원한다.
관계,"<br>우리는 어쩌다 이렇게 되어버렸는지.<br>기억 속의 네 형상은 아직 미소를 띠었는데,<br>내 눈에 맺힌 네 얼굴엔 왜 절망이 피었는지.<br>우리는 깨져가는 관계를 왜 보고만 있는지.<br>네가 깬 우리의 조각은 깊고 진해, 그 어느 눈물로도 이을 수 없어<br>내게 한번만 네 손을 빌려줘<br>저 너머 어딘가 조각을 모을 기회를 잡으려<br>발버둥치는 날 잡아줘.<br>네가 깬 감정<br>네가 깬 관계<br>네가 깬 우리까지도 다시 모을 수 있도록<br>날 잡아줘.<br>이제 난 부서지는, 망가지는, 무너지는 모든 모습의 우리를 있는 힘껏 견뎌낼게.<br>감정의 잔해가 날선 파편이 되어 나를 비껴가,<br>너를 해하지 못하도록.<br>마지막으로 네 조각을 가져와 줘<br>잔인하게 찢겨버린 진심이<br>엉망진창 각인되지 않게.<br>내가 맞추려는 우리 관계의 조각을,<br>네 손으로 완성해줘.<br>너의 마지막 조각을 끼워,<br>우릴 완성해줘."
꽃잎,<br>한잎 두잎<br>떨어지는 꽃잎들에<br>바라만 보고 있던 나<br>터질듯 풍성했던 꽃잎들이<br>힘을 잃은 듯<br>하나 둘씩 떨어져<br>앞으로 계속.<br>그렇게 남아줬으면 좋겠다.<br>라고 생각한다면<br>내 욕심일까<br>그렇게 한참을<br>쳐다만 보다가<br>너를 끌어 안았다<br>떨어질까 혹시라도 놓칠새라<br>나의 품으로 감싸<br>그러다<br>툭 툭 툭<br>떨어지는 빗방울<br>한잎 두잎 떨어지는<br>꽃잎들<br>떨어질까 혹시라도 놓칠새라<br>나의 품으로 감싸<br>하지만 이 순간마저<br>행복하다고 생각해<br>이대로 시간이 멈췄으면 좋겠다고<br>오직 너라는 이유만으로.
불행,<br>밤길을 걸었다며<br>눈물없이는 걸을 수가 없었다며<br>새까만 밤 축축한 소매 흐린 시야에<br>그 밝은 달 하나가 위로였다며<br>응어리진 말들 내뱉으면서 더욱 비참해졌다며<br>해도 아니고 달 하나에 의지할 수 밖에 없는 삶은 어떤 삶이냐고<br>스스로의 불행을 만지는 것은<br>쓰레기 무단투기 금지 구역에 널부러진 쓰레기를 바라보는<br>환경미화원의 한숨이라고<br>나도 여기에 있고 싶지 않았어<br>억울한 듯 외치는 쓰레기의 무의미한 곡소리라고<br>안경도 없이<br>희미한 눈으로 비틀거리며 걸었어<br>애플의 사과는 썩지 않는다<br>썩은 사과를 바라보며 떠올린 명제는<br>안경조차 없는 내 눈을 무의미하게 만들었어<br>어쩌면 비틀거릴 수 밖에 없는 걸음은<br>허공의 삶이라고<br>내 삶에 그려내는 모든 것은 허상이라고<br>신기루라고<br>중얼거림을 끝내고<br>다시 또 비틀거림으로
여름,"<br>너는 아마 잘 모를 것 같아<br>이 여름은 얼마나 뜨거웠고 나는 얼마나 한결 같이 그대로였는지<br>빨갛게 익는 노을을 보면서 듣는 네 목소리가 어떤지 너는 알고 있을지 너는 아마 잘 모를 것 같아<br>내 매일을 덥고 힘들게 만드는 여름이라도,<br>그 온도를 만드는 태양이 너라면<br>내 남은 생의 매일이 여름이어도 좋겠다고 생각 했어<br>그날 밤 우리가 가장 마지막으로 서로를 보며 약속 했던 건,<br>그날은 이상하게도 밤이 길었고 하늘이 유난히 까맸다"
